0.3, 4, 4, 0.8136, 0.6381, 4.23304, 3.98339, 4.1678
0.35, 4, 4, 0.759, 0.5625, 4.29723, 3.99733, 4.2577
0.4, 4, 4, 0.694, 0.484, 4.38329, 3.98864, 4.3715
0.45, 4, 4, 0.6224, 0.4161, 4.41211, 3.95242, 4.4945
0.5, 4, 4, 0.5478, 0.3455, 4.5084, 3.97569, 4.7395
0, 4, 5, 1, 1, 4.8072, 4.8072, 4.8072
0.05, 4, 5, 0.9574, 0.9227, 4.81502, 4.77642, 4.7885
0.1, 4, 5, 0.9445, 0.8494, 4.8576, 4.77443, 4.8163
0.15, 4, 5, 0.9225, 0.7694, 4.91696, 4.7576, 4.839
0.2, 4, 5, 0.8981, 0.6913, 4.97929, 4.76089, 4.8773
0.25, 4, 5, 0.8538, 0.6066, 5.03725, 4.69255, 4.9033
0.3, 4, 5, 0.8055, 0.5339, 5.13383, 4.73047, 4.9672
0.35, 4, 5, 0.7415, 0.452, 5.21241, 4.66925, 5.0674
0.4, 4, 5, 0.6657, 0.3749, 5.35977, 4.72979, 5.2332
0.45, 4, 5, 0.5829, 0.3143, 5.45737, 4.63761, 5.4044
0.5, 4, 5, 0.4874, 0.2446, 5.49713, 4.55642, 5.6558
0, 5, 3, 1, 1, 3.3309, 3.3309, 3.3309
0.05, 5, 3, 0.9937, 0.9468, 3.36359, 3.33756, 3.3441
0.1, 5, 3, 0.9679, 0.8917, 3.39198, 3.33576, 3.3562
0.15, 5, 3, 0.9383, 0.8329, 3.42854, 3.33017, 3.3617
0.2, 5, 3, 0.9041, 0.7788, 3.47229, 3.3341, 3.3768
0.25, 5, 3, 0.8575, 0.6999, 3.53563, 3.3309, 3.4229
0.3, 5, 3, 0.8186, 0.6499, 3.5849, 3.3262, 3.4568
0.35, 5, 3, 0.7695, 0.5831, 3.66745, 3.32584, 3.5218
0.4, 5, 3, 0.7016, 0.5256, 3.73133, 3.3575, 3.6197
0.45, 5, 3, 0.6261, 0.4521, 3.83565, 3.38576, 3.7584
0.5, 5, 3, 0.5442, 0.3797, 3.89728, 3.394, 3.916
0, 5, 4, 1, 1, 4.992, 4.992, 4.992
0.05, 5, 4, 0.9865, 0.9464, 4.98145, 4.95509, 4.959
0.1, 5, 4, 0.9634, 0.8912, 5.05584, 5.00269, 5.0137
0.15, 5, 4, 0.9321, 0.829, 5.08518, 5.00856, 5.0297
0.2, 5, 4, 0.8924, 0.7573, 5.12125, 4.98085, 5.0315
